playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471709,2023,Marc-Edouard Vlasic,SJS,D,other,9,64.0,0.0,-1.07,0.0,0.62,0.0,0.83,0.0,0.82,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.43,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2023,Marc-Edouard Vlasic,SJS,D,all,9,7683.0,180.0,-1.75,0.3,0.41,0.36,0.46,0.36,0.45,48.0,9.94,0.49,0.65,2.79,0.35,5.36,4.36,0.46,0.46,0.43,0.0,0.0,8.0,6.0,9.0,23.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,3.0,8.0,14.0,0.0,0.0,0.0,3.0,3.0,3.0,13.0,1.0,0.0,0.34,0.15,0.0,0.0,0.0,0.0,22.01,14.0,13.6,3.0,0.13,0.47,0.15,0.47,0.45,0.43,180.0,8.0,27.0,28.0,117.0,22.0,34.0,23.0,101.0,0.0,0.0,25017.0,0.0,4.0,2.0,15.0,52.52,5.25,4.97,4.97,4.71,45.0,26.0,30.0,101.0,1.0,11.0,0.0,51.0,9.0,11.0,1.22,1.26,2.77,0.0,1.0,0.0,95.01,71.0,67.52,0.76,2.04,2.04,3.97,3.8,3.74,93.6,12.1,10.89,12.69,11.39,99.0,29.0,54.0,182.0,11.0,17.0,3.0,84.0,30.0,14.0,2.56,3.97,5.56,3.0,5.0,3.0,193.0,128.0,133.43,1.58,4.88,4.88,8.8,9.21,8.96,17.06,24.62,399.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2023,Marc-Edouard Vlasic,SJS,D,5on5,9,6613.0,158.0,-1.75,0.35,0.41,0.4,0.46,0.4,0.44,47.0,9.17,0.43,0.58,2.72,0.33,5.05,3.89,0.39,0.4,0.37,0.0,0.0,7.0,6.0,9.0,22.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,3.0,7.0,13.0,0.0,0.0,0.0,3.0,2.0,3.0,12.0,1.0,0.0,0.28,0.15,0.0,0.0,0.0,0.0,21.01,13.0,12.6,3.0,0.12,0.47,0.15,0.39,0.37,0.36,158.0,8.0,21.0,27.0,102.0,20.0,29.0,17.0,92.0,0.0,0.0,19694.0,0.0,2.0,1.0,11.0,49.3,4.8,4.52,4.53,4.27,42.0,25.0,29.0,96.0,1.0,11.0,0.0,48.0,9.0,10.0,1.09,1.26,2.46,0.0,1.0,0.0,90.01,67.0,63.52,0.72,2.04,2.04,3.48,3.31,3.26,72.67,8.77,7.72,9.36,8.22,75.0,24.0,47.0,146.0,7.0,13.0,1.0,65.0,23.0,11.0,2.08,3.01,3.68,2.0,4.0,1.0,157.0,99.0,104.43,1.12,3.29,3.29,6.6,7.0,6.81,11.29,16.29,298.0,352.0,0.55,0.02,15.0,1.0,14.0,1.0
8471709,2023,Marc-Edouard Vlasic,SJS,D,4on5,9,979.0,20.0,-1.75,0.12,0.04,0.12,0.13,0.12,0.16,31.0,0.77,0.06,0.07,0.07,0.02,0.31,0.47,0.06,0.06,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.08,0.08,0.08,20.0,0.0,6.0,1.0,13.0,2.0,4.0,5.0,9.0,0.0,0.0,1976.0,0.0,0.0,0.0,0.0,3.22,0.44,0.44,0.44,0.44,3.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.13,0.0,0.32,0.0,0.0,0.0,5.0,4.0,4.0,0.04,0.0,0.0,0.49,0.49,0.49,20.92,3.33,3.17,3.33,3.17,24.0,5.0,7.0,36.0,4.0,4.0,2.0,19.0,7.0,3.0,0.49,0.96,1.88,1.0,1.0,2.0,36.0,29.0,29.0,0.46,1.59,1.59,2.21,2.21,2.15,0.21,4.84,10.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2023,Marc-Edouard Vlasic,SJS,D,5on4,9,27.0,2.0,-0.95,0.0,0.93,0.0,0.77,0.0,0.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.03,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8473563,2023,Nicklas Backstrom,WSH,C,other,8,62.0,1.0,0.52,0.0,0.46,1.0,0.38,0.0,0.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.86,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8473563,2023,Nicklas Backstrom,WSH,C,all,8,6988.0,142.0,0.99,0.59,0.44,0.56,0.46,0.58,0.47,56.0,12.68,1.47,1.29,2.74,0.41,6.04,4.05,1.24,1.47,1.24,0.0,1.0,12.0,4.0,1.0,17.0,1.0,0.0,3.0,0.0,1.0,1.0,7.0,4.0,12.0,16.0,1.0,2.0,44.0,2.0,5.0,3.0,10.0,3.0,3.0,0.3,0.36,0.8,0.0,0.0,0.0,16.8,16.0,15.94,0.0,0.31,0.32,0.61,1.16,1.16,1.07,142.0,27.0,12.0,29.0,74.0,23.0,20.0,13.0,86.0,44.0,40.0,22459.0,2.0,4.0,2.0,5.0,63.11,5.36,5.02,5.2,4.86,60.0,25.0,29.0,114.0,2.0,9.0,0.0,65.0,14.0,6.0,1.92,1.69,1.74,0.0,2.0,0.0,109.78,85.0,82.47,1.09,1.51,1.51,4.94,4.83,4.68,43.51,3.66,3.53,3.84,3.7,44.0,18.0,29.0,91.0,4.0,5.0,0.0,45.0,15.0,2.0,1.37,1.83,0.46,2.0,2.0,0.0,96.58,62.0,65.77,0.58,0.58,0.58,3.66,3.84,3.77,18.99,23.78,356.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0
8473563,2023,Nicklas Backstrom,WSH,C,5on5,8,5853.0,125.0,0.99,0.47,0.48,0.47,0.49,0.5,0.49,54.0,6.74,0.51,0.45,1.45,0.2,3.61,2.79,0.5,0.51,0.5,0.0,1.0,6.0,3.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,9.0,1.0,2.0,40.0,2.0,5.0,3.0,7.0,2.0,0.0,0.25,0.26,0.0,0.0,0.0,0.0,9.8,9.0,8.94,0.0,0.09,0.0,0.0,0.6,0.61,0.59,125.0,20.0,12.0,26.0,67.0,21.0,19.0,9.0,76.0,40.0,36.0,17640.0,2.0,4.0,2.0,5.0,43.42,3.13,3.04,2.96,2.88,41.0,17.0,21.0,79.0,1.0,4.0,0.0,48.0,8.0,2.0,1.39,1.03,0.71,0.0,1.0,0.0,74.78,58.0,55.47,0.55,0.69,0.69,2.98,2.87,2.83,41.09,3.51,3.38,3.69,3.56,42.0,17.0,29.0,88.0,4.0,5.0,0.0,43.0,14.0,2.0,1.31,1.74,0.46,2.0,2.0,0.0,93.58,59.0,62.77,0.55,0.58,0.58,3.49,3.66,3.6,11.76,12.87,279.0,294.0,0.07,0.0,5.0,2.0,4.0,0.0
8473563,2023,Nicklas Backstrom,WSH,C,4on5,8,31.0,2.0,0.33,0.0,0.03,0.0,0.1,0.0,0.12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.62,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8473563,2023,Nicklas Backstrom,WSH,C,5on4,8,1042.0,14.0,0.3,0.93,0.9,0.91,0.85,0.89,0.84,34.0,5.95,0.95,0.85,1.29,0.22,2.43,1.27,0.74,0.95,0.74,0.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,0.05,0.1,0.8,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.22,0.32,0.61,0.56,0.56,0.48,14.0,7.0,0.0,2.0,5.0,0.0,1.0,4.0,9.0,3.0,1.0,1327.0,0.0,0.0,0.0,0.0,18.33,2.0,1.76,2.0,1.76,19.0,6.0,6.0,31.0,1.0,4.0,0.0,17.0,4.0,4.0,0.54,0.43,1.03,0.0,1.0,0.0,31.0,25.0,25.0,0.5,0.67,0.67,1.84,1.84,1.73,2.42,0.15,0.14,0.15,0.14,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.03,0.0,0.0,0.18,0.18,0.17,4.04,0.44,52.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
